source,author,title,description,url,urlToImage,publishedAt,content
"{'id': None, 'name': 'Gizmodo.com'}",Matt Novak,Trump-Harris Debate: How to Watch the First Presidential Match-Up,Donald Trump and Kamala Harris go head-to-head in Philadelphia on September 10 at 9 p.m. ET / 6 p.m. PT.,https://gizmodo.com/trump-harris-debate-how-to-watch-the-first-presidential-match-up-2000496284,https://gizmodo.com/app/uploads/2024/09/Untitled6.jpg,2024-09-10T11:00:31Z,Donald Trump and Kamala Harris will square off for their first presidential debate on Tuesday. It’s going to be essential viewing for every American who’s nervous about the upcoming election. And wit… [+5260 chars]
"{'id': None, 'name': 'Gizmodo.com'}",Matt Novak,Trump Supporters Spread Ridiculous Conspiracy Theory Kamala Harris Wore Audio-Enabled Earrings at Debate,"The maker of the earrings joked to Gizmodo that they could make some for Trump but his orange skin tone might be ""challenging.""",https://gizmodo.com/trump-supporters-spread-ridiculous-conspiracy-theory-kamala-harris-wore-audio-enabled-earrings-at-debate-2000497482,https://gizmodo.com/app/uploads/2024/09/donald-trump-goofy-joker-smile-kamala-harris-debate-1.jpg,2024-09-11T16:55:07Z,"Loomer isn’t just some regular internet crackpot either. She was spotted exiting Trump’s plane before the debate in Philadelphia Tuesday. Trump has considered hiring her for a job, according to the N… [+4874 chars]"
"{'id': 'wired', 'name': 'Wired'}",Steven Levy,"Trae Stephens Has Built AI Weapons and Worked for Donald Trump. As He Sees It, Jesus Would Approve","He’s deep in the defense-startup world as a Founders Fund partner and Anduril cofounder. His bunker, though, isn’t fully prepped for the end times.",https://www.wired.com/story/big-interview-trae-stephens-has-built-ai-weapons-and-worked-for-donald-trump-as-he-sees-it-jesus-would-approve/,"https://media.wired.com/photos/66ee0c2c4d957e45347904d7/191:100/w_1280,c_limit/BI_Trae-Stephens-(4).jpg",2024-09-25T10:00:00Z,"When I wrote about Anduril in 2018, the company explicitly said it wouldnt build lethal weapons. Now you are building fighter planes, underwater drones, and other deadly weapons of war. Why did you m… [+3890 chars]"
"{'id': None, 'name': 'BBC News'}",,How apparent assassination attempt unfolded... in 60 seconds,"Donald Trump has been targeted in an alleged assassination attempt, for the second time in a matter of months.",https://www.bbc.com/news/videos/czd11ryq9rjo,https://ichef.bbci.co.uk/news/1024/branded_news/9bc5/live/46899190-73f4-11ef-b02d-c5f3b724a1ea.jpg,2024-09-16T06:33:08Z,"Donald Trump has been targeted in an alleged assassination attempt for the second time in a matter of months. 
The former president was rushed to safety after a suspected gunman was spotted hiding i… [+325 chars]"
"{'id': None, 'name': 'BBC News'}",,Pope urges Catholics to pick 'lesser evil' between Trump and Harris,"The pontiff called the candidates ""against life"", criticising Donald Trump on immigration and Kamala Harris on abortion.",https://www.bbc.com/news/articles/crkdmdg78jgo,https://ichef.bbci.co.uk/news/1024/branded_news/74e9/live/debbcae0-721a-11ef-8c1a-df523ba43a9a.jpg,2024-09-13T21:57:12Z,"Pope Francis has called both major US presidential candidates ""against life"" and advised Catholic voters to choose the ""lesser evil"" when casting their ballots in the November election.
The pontiff … [+2026 chars]"
"{'id': None, 'name': 'Gizmodo.com'}",Matt Novak,The Best Memes About Donald Trump’s Embarrassing Performance at the Debate,"""They're eating the cats. They're eating the dogs.""",https://gizmodo.com/the-best-memes-about-donald-trumps-embarrassing-performance-at-the-debate-2000497596,https://gizmodo.com/app/uploads/2024/09/trump-harris-shake-hands-debate.jpg,2024-09-11T21:01:36Z,"Did you catch the presidential debate Tuesday night? It was pretty embarrassing for Donald Trump, if we’re being completely honest. Kamala Harris was poised, intelligent, and delivered a real vision … [+5991 chars]"
"{'id': None, 'name': 'Gizmodo.com'}",Lucas Ropek,Donald Trump Says Elon Musk Will Lead ‘Government Efficiency’ Task Force,"“I look forward to serving America if the opportunity arises,"" Musk said.",https://gizmodo.com/donald-trump-says-elon-musk-will-lead-government-efficiency-task-force-2000495260,https://gizmodo.com/app/uploads/2024/09/Elon-Musk-meets-at-the-White-House-with-Donald-Trump.jpg,2024-09-05T20:55:10Z,"Donald Trump has made it known that, if elected again, he will create a “government efficiency” commission to audit the federal governmentan idea that was notably spawned by his pal (more recently, f… [+3897 chars]"
"{'id': None, 'name': 'Gizmodo.com'}",Lucas Ropek,"Trump’s Chicago Hotel Killed Thousands of Fish, Court Finds",A judge found that Trump's hotel violated Illinois environmental regulations.,https://gizmodo.com/trumps-chicago-hotel-killed-thousands-of-fish-court-finds-2000498291,https://gizmodo.com/app/uploads/2024/09/Trump-International-Hotel-Tower-in-Chicago.jpg,2024-09-13T13:40:02Z,"Over half a decade after it was originally sued by the Illinois Attorney General, the Trump International Hotel &amp; Tower in Chicago has been found guilty of breaking various local environmental la… [+2507 chars]"
"{'id': None, 'name': 'BBC News'}",,Kamala Harris accepts CNN invitation for TV debate,"Trump has yet to comment on the proposed rematch, but has said previously he wouldn't debate Harris again.",https://www.bbc.com/news/articles/cwyejk91d2qo,https://ichef.bbci.co.uk/news/1024/branded_news/ff65/live/e41aecd0-783e-11ef-a842-dbb5a90b51c3.jpg,2024-09-21T17:53:38Z,"Vice President Kamala Harris has accepted a CNN invitation to a presidential debate on 23 October, just days before the November election. 
It is unlikely that her rival Donald Trump will accept the… [+1992 chars]"
"{'id': None, 'name': '[Removed]'}",,[Removed],[Removed],https://removed.com,,2024-09-18T03:13:21Z,[Removed]
